label, url, icon
"diogocarapito.com","https://diogocarapito.com/","https://raw.githubusercontent.com/diogocarapito/blog/main/static/favicon.ico"
"Github","https://github.com/diogocarapito","https://icons.getbootstrap.com/assets/icons/github.svg"
"Linkedin","https://www.linkedin.com/in/diogo-carapito/","https://icons.getbootstrap.com/assets/icons/linkedin.svg"
