indicador
330
331	
6	
99	
3	
1	
5	
335	
342	
344	
345	
339	
412	
410	
346	
349	
269	
302	
63	
95	
11	
398	
295	
308	
310	
311	
312	
8	
384	
45	
98	
46	
262	
306	
34	
395	
397	
404	
53	
54	
381	
294	
297	
30	
372	
261	
37	
36	
314	
315	
39	
274	
275	
350	
351	
382	
18	
20	
23	
352	
353	
383	
49	
380	
365	
341	
276	
255	
257	
259	
409	
378	
354	
300	
389	
390	
391	
392	
428	
430	
393	
394	
