indicador
2
100	
343	
385	
386	
405	
347	
348	
57	
15	
14	
16	
59	
17	
31	
32	
93	
94	
307	
309	
427	
296	
9	
10	
35	
38	
91	
413	
97	
19	
316	
54	
277	
278	
379	
